startIP,endIP,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
3166593668,3166593668,,,malware,,,,,
1050002283,1050002283,,,malware,,,,,
1074196758,1074196758,,,malware,,,,,
3260680212,3260680212,,,malware,,,,,
3558794546,3558794546,,,malware,,,,,
645055714,645055714,,,malware,,,,,
1506892593,1506892593,,,malware,,,,,
3267022856,3267022856,,,malware,,,,,
1115066949,1115066949,,,malware,,,,,
3168870577,3168870577,,,malware,,,,,
1427217175,1427217175,,,malware,,,,,
1107809622,1107809622,,,malware,,,,,
1507717193,1507717193,,,malware,,,,,
3584809524,3584809524,,,malware,,,,,
1113621013,1113621013,,,malware,,,,,
1211611656,1211611656,,,malware,,,,,
3158395553,3158395553,,,malware,,,,,
3470857293,3470857293,,,malware,,,,,
1592057391,1592057391,,,malware,,,,,
1841598343,1841598343,,,malware,,,,,
3584252214,3584252214,,,malware,,,,,
3516906795,3516906795,,,malware,,,,,
3056763300,3056763300,,,malware,,,,,
1364734049,1364734049,,,malware,,,,,
1168265754,1168265754,,,malware,,,,,
3470363090,3470363090,,,malware,,,,,
2927137418,2927137418,,,malware,,,,,
3268740103,3268740103,,,malware,,,,,
1863980802,1863980802,,,malware,,,,,
3716424986,3716424986,,,malware,,,,,
1729001593,1729001593,,,malware,,,,,
3556889689,3556889689,,,malware,,,,,
1440128473,1440128473,,,malware,,,,,
1359135370,1359135370,,,malware,,,,,
1540989616,1540989616,,,malware,,,,,
92763087,92763087,,,malware,,,,,
2990473749,2990473749,,,malware,,,,,
3098292483,3098292483,,,malware,,,,,
1509453794,1509453794,,,malware,,,,,
1161838556,1161838556,,,malware,,,,,
3571653141,3571653141,,,malware,,,,,
1742787806,1742787806,,,malware,,,,,
1163468786,1163468786,,,malware,,,,,
3417080675,3417080675,,,malware,,,,,
3255394113,3255394113,,,malware,,,,,
1565386689,1565386689,,,malware,,,,,
3659985735,3659985735,,,malware,,,,,
842984193,842984193,,,malware,,,,,
3266992173,3266992173,,,malware,,,,,
3278804484,3278804484,,,malware,,,,,
3413927681,3413927681,,,malware,,,,,
2365635333,2365635333,,,malware,,,,,
1964359471,1964359471,,,malware,,,,,
1071193907,1071193907,,,malware,,,,,
844601234,844601234,,,malware,,,,,
1370067282,1370067282,,,malware,,,,,
3325674049,3325674049,,,malware,,,,,
70989842,70989842,,,malware,,,,,
3158395558,3158395558,,,malware,,,,,
3328337623,3328337623,,,malware,,,,,
1109697487,1109697487,,,malware,,,,,
3590091956,3590091956,,,malware,,,,,
1370067361,1370067361,,,malware,,,,,
3588476761,3588476761,,,malware,,,,,
3256644502,3256644502,,,malware,,,,,
1583618443,1583618443,,,malware,,,,,
1833457157,1833457157,,,malware,,,,,
1177233524,1177233524,,,malware,,,,,
845277698,845277698,,,malware,,,,,
3726138899,3726138899,,,malware,,,,,
3409905086,3409905086,,,malware,,,,,
3104575184,3104575184,,,malware,,,,,
520823122,520823122,,,malware,,,,,
1218937608,1218937608,,,malware,,,,,
3237935540,3237935540,,,malware,,,,,
3585745321,3585745321,,,malware,,,,,
1211089649,1211089649,,,malware,,,,,
1176898667,1176898667,,,malware,,,,,
3690925389,3690925389,,,malware,,,,,
1427746929,1427746929,,,malware,,,,,
1839758192,1839758192,,,malware,,,,,
92763100,92763100,,,malware,,,,,
1306428246,1306428246,,,malware,,,,,
2789084161,2789084161,,,malware,,,,,
1336615433,1336615433,,,malware,,,,,
1372182899,1372182899,,,malware,,,,,
1159375646,1159375646,,,malware,,,,,
3561414839,3561414839,,,malware,,,,,
3698231860,3698231860,,,malware,,,,,
2918607119,2918607119,,,malware,,,,,
92763098,92763098,,,malware,,,,,
1495241114,1495241114,,,malware,,,,,
3286418737,3286418737,,,malware,,,,,
1822667395,1822667395,,,malware,,,,,
1500273591,1500273591,,,malware,,,,,
1370094472,1370094472,,,malware,,,,,
710973238,710973238,,,malware,,,,,
919707619,919707619,,,malware,,,,,
1209283874,1209283874,,,malware,,,,,
3578894396,3578894396,,,malware,,,,,
2789088339,2789088339,,,malware,,,,,
782464400,782464400,,,malware,,,,,
1359136930,1359136930,,,malware,,,,,
1118820981,1118820981,,,malware,,,,,
92763094,92763094,,,malware,,,,,
1541160532,1541160532,,,malware,,,,,
1163466055,1163466055,,,malware,,,,,
2405368070,2405368070,,,malware,,,,,
1078428644,1078428644,,,malware,,,,,
3566915753,3566915753,,,malware,,,,,
3106339314,3106339314,,,malware,,,,,
1343767340,1343767340,,,malware,,,,,
1547481579,1547481579,,,malware,,,,,
2682407675,2682407675,,,malware,,,,,
1163465776,1163465776,,,malware,,,,,
1358215975,1358215975,,,malware,,,,,
3497117120,3497117120,,,malware,,,,,
1078861001,1078861001,,,malware,,,,,
1539627072,1539627072,,,malware,,,,,
2959744995,2959744995,,,malware,,,,,
773728842,773728842,,,malware,,,,,
1160961470,1160961470,,,malware,,,,,
520505173,520505173,,,malware,,,,,
1997684101,1997684101,,,malware,,,,,
1475963395,1475963395,,,malware,,,,,
1315847775,1315847775,,,malware,,,,,
3251331954,3251331954,,,malware,,,,,
1045141583,1045141583,,,malware,,,,,
3369860375,3369860375,,,malware,,,,,
2034217912,2034217912,,,malware,,,,,
1426950882,1426950882,,,malware,,,,,
3642708325,3642708325,,,malware,,,,,
1073458000,1073458000,,,malware,,,,,
1315873359,1315873359,,,malware,,,,,
3512930510,3512930510,,,malware,,,,,
3641245178,3641245178,,,malware,,,,,
1754847066,1754847066,,,malware,,,,,
3359274782,3359274782,,,malware,,,,,
920960862,920960862,,,malware,,,,,
1346575497,1346575497,,,malware,,,,,
3518911996,3518911996,,,malware,,,,,
92763089,92763089,,,malware,,,,,
3158395555,3158395555,,,malware,,,,,
3097136166,3097136166,,,malware,,,,,
3353334185,3353334185,,,malware,,,,,
1441497671,1441497671,,,malware,,,,,
2927268958,2927268958,,,malware,,,,,
3160356113,3160356113,,,malware,,,,,
3631714242,3631714242,,,malware,,,,,
1592975856,1592975856,,,malware,,,,,
1383189732,1383189732,,,malware,,,,,
1246846280,1246846280,,,malware,,,,,
2927576771,2927576771,,,malware,,,,,
3233466498,3233466498,,,malware,,,,,
3494662160,3494662160,,,malware,,,,,
1388568689,1388568689,,,malware,,,,,
1539571271,1539571271,,,malware,,,,,
2921704610,2921704610,,,malware,,,,,
1400706759,1400706759,,,malware,,,,,
1138650480,1138650480,,,malware,,,,,
3639984418,3639984418,,,malware,,,,,
788402924,788402924,,,malware,,,,,
96995108,96995108,,,malware,,,,,
2954829026,2954829026,,,malware,,,,,
1539799118,1539799118,,,malware,,,,,
1161245087,1161245087,,,malware,,,,,
3396616483,3396616483,,,malware,,,,,
3287463454,3287463454,,,malware,,,,,
1137531189,1137531189,,,malware,,,,,
1540741467,1540741467,,,malware,,,,,
3270982240,3270982240,,,malware,,,,,
1180218918,1180218918,,,malware,,,,,
1125551689,1125551689,,,malware,,,,,
1370590063,1370590063,,,malware,,,,,
